"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C32","TAJ-A_M","86.703mm","56.1mm","88.1mm","56.1mm","88.1mm","56.1mm","T","180.00","4.7uF x 16V"
"C31","CC0603-3M","87.3mm","57.9mm","87.3mm","57.9mm","86.4491mm","57.9mm","T","360.00","0.1 uF"
"C30","CC1206-MIDI","47.95mm","76.1mm","46.5mm","76.1mm","46.5mm","76.1mm","T","0.00","0.1 uF 250V"
"C29","CC0603-3M","81.5mm","56.3mm","81.5mm","56.3mm","81.5mm","55.4491mm","T","90.00","0.1 uF"
"C27","CC0603-3M","73.6mm","62.2mm","73.6mm","62.2mm","72.7491mm","62.2mm","T","360.00","0.1 uF"
"C26","CC0603-3M","68.5mm","82.8mm","68.5mm","82.8mm","69.3509mm","82.8mm","T","180.00","220 pF"
"C25","CC0603-3M","68.5mm","84.1mm","68.5mm","84.1mm","69.3509mm","84.1mm","T","180.00","22 nF"
"C24","CC0603-3M","61.8mm","77.8mm","61.8mm","77.8mm","61.8mm","76.9491mm","T","90.00","0.1 uF"
"C23","CC0603-3M","45.3mm","58.8mm","45.3mm","58.8mm","44.4491mm","58.8mm","B","360.00","220 pF"
"C22","CC0603-3M","63.5mm","42.5mm","63.5mm","42.5mm","62.6491mm","42.5mm","B","360.00","0.1 uF"
"C21","CC0603-3M","56.9mm","41.6mm","56.9mm","41.6mm","56.9mm","40.7491mm","T","90.00","0.1 uF"
"C20","TAJ-A_M","58.7mm","41.003mm","58.7mm","42.4mm","58.7mm","42.4mm","T","270.00","10uF x 6.3V"
"C19","CC0603-3M","37mm","36.8mm","37mm","36.8mm","37mm","37.6509mm","T","270.00","0.1 uF"
"C18","CC0603-3M","53.2mm","41.6mm","53.2mm","41.6mm","53.2mm","40.7491mm","T","90.00","0.1 uF"
"C17","TAJ-A_M","51.4mm","41.003mm","51.4mm","42.4mm","51.4mm","42.4mm","T","270.00","10uF x 6.3V"
"C16","CC0603-3M","81.3mm","52mm","81.3mm","52mm","81.3mm","52.8509mm","B","270.00","0.1 uF"
"C15","CC0603-3M","81.1mm","45.7mm","81.1mm","45.7mm","81.9509mm","45.7mm","B","180.00","0.1 uF"
"C14","CC0603-3M","85.3mm","52mm","85.3mm","52mm","85.3mm","52.8509mm","B","270.00","0.1 uF"
"C13","TAJ-A_M","86.103mm","41.5mm","87.5mm","41.5mm","87.5mm","41.5mm","B","180.00","10uF x 6.3V"
"C12","CC0603-3M","86.4mm","39.6mm","86.4mm","39.6mm","85.5491mm","39.6mm","B","0.00","0.1 uF"
"C11","CC0603-3M","73.3mm","39.9mm","73.3mm","39.9mm","74.1509mm","39.9mm","B","180.00","0.1 uF"
"C10","CC0603-3M","41.1mm","33.6mm","41.1mm","33.6mm","40.2491mm","33.6mm","T","360.00","220 pF"
"C9","CC0603-3M","86.4mm","44.9mm","86.4mm","44.9mm","85.5491mm","44.9mm","B","0.00","0.1 uF"
"C8","CC0603-3M","83mm","34.9mm","83mm","34.9mm","83mm","35.7509mm","B","270.00","0.1 uF"
"C7","CC0603-3M","76mm","34.8mm","76mm","34.8mm","76mm","35.6509mm","B","270.00","0.1 uF"
"C6","CC0603-3M","70.6mm","45.3mm","70.6mm","45.3mm","70.6mm","44.4491mm","T","90.00","0.1 uF"
"C5","CC0603-3M","93.6mm","45.1mm","93.6mm","45.1mm","94.4509mm","45.1mm","B","180.00","220 pF"
"C4","CC0603-3M","77.3mm","53.6mm","77.3mm","53.6mm","77.3mm","54.4509mm","T","270.00","22 pF"
"C3","CC0603-3M","79.4mm","53.6mm","79.4mm","53.6mm","79.4mm","54.4509mm","T","270.00","22 pF"
"C2","CC0603-3M","70.9mm","55.6mm","70.9mm","55.6mm","70.9mm","56.4509mm","T","270.00","22 pF"
"C1","CC0603-3M","74.9mm","55.6mm","74.9mm","55.6mm","74.9mm","56.4509mm","T","270.00","22 pF"

