"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"VD11","SOD-80","139.875mm","98.025mm","139.875mm","98.025mm","139.875mm","99.676mm","T","90.00","LL4148"
"VD12","SOD-523","148.075mm","113.8mm","148.075mm","113.8mm","148.075mm","113mm","T","90.00","ESD5Z3.3T1G/T5G"
"VD13","SOD-523","145.5mm","113.8mm","145.5mm","113.8mm","145.5mm","113mm","T","90.00","ESD5Z3.3T1G/T5G"
"VD14","SOD-523","149.225mm","122.325mm","149.225mm","122.325mm","150.025mm","122.325mm","T","180.00","ESD5Z3.3T1G/T5G"
"VD15","SOD-523","143.025mm","113.8mm","143.025mm","113.8mm","143.025mm","113mm","T","90.00","ESD5Z3.3T1G/T5G"
"VD16","SOD-523","149.225mm","123.75mm","149.225mm","123.75mm","150.025mm","123.75mm","T","180.00","ESD5Z3.3T1G/T5G"
"VD17","SOD-523","140.575mm","113.8mm","140.575mm","113.8mm","140.575mm","113mm","T","90.00","ESD5Z3.3T1G/T5G"
"VD18","LED3","121.73mm","32.225mm","123mm","32.225mm","123mm","32.225mm","T","180.00","LED_3"
"VD19","LED3","122.205mm","122.725mm","123.475mm","122.725mm","123.475mm","122.725mm","T","180.00","LED_3"
"VD20","SMA","101.725mm","47.575mm","101.725mm","47.575mm","99.675mm","47.575mm","T","360.00","GS1M"
"VD21","SMA","102.075mm","61.5mm","102.075mm","61.5mm","100.025mm","61.5mm","T","360.00","SK34SMA"
"VD22","SOT-23(GSD)","145.816mm","106.3184mm","144.8mm","105.15mm","144.8mm","105.1627mm","T","0.00","BAV99"
"VD23","SMB","141.8mm","108.05mm","141.8mm","108.05mm","141.8mm","110.35mm","T","90.00","SMBJ5.0A"
"VD24","SMB","149.6mm","108.1mm","149.6mm","108.1mm","149.6mm","105.8mm","T","270.00","SMBJ5.0A"
"VD25","SOT-23(GSD)","145.816mm","110.4684mm","144.8mm","109.3mm","144.8mm","109.3127mm","T","0.00","BAV99"
"VT1","SOT-23(123)","148.766mm","60.6434mm","147.75mm","59.475mm","147.75mm","59.4877mm","T","270.00","n.p"
"VT3","SOT-23(123)","159.584mm","61.7066mm","160.6mm","62.875mm","160.6mm","62.8623mm","T","90.00","BC817-40"
"VT4","D-PAK(TO-252AA)","157.2mm","96.375mm","157.2mm","97.625mm","154.92mm","93.125mm","T","90.00","FQD5P20TM"
"VT5","SOT-23(123)","151.366mm","93.5184mm","150.35mm","92.35mm","150.35mm","92.3627mm","T","270.00","BC817-40"
"XP1","MW03D","114.75mm","101.5mm","114.75mm","99mm","114.75mm","99mm","T","90.00","MW03D"
"XP3","BH-10","156.645mm","114.82mm","155.375mm","119.9mm","155.375mm","119.9mm","T","270.00","n.p"
"XP4","DG330-3PIN","105.05mm","98.15mm","105.05mm","98.15mm","105.05mm","103.15mm","T","270.00","n.p"
"XP6","PIN6","157.395mm","84.21mm","156.125mm","86.75mm","156.125mm","86.75mm","T","270.00","PLD-06"
"XP7","BH-10","137.27mm","120.005mm","142.35mm","121.275mm","142.35mm","121.275mm","T","180.00","BH-10"
"VT2","D-PAK(TO-252AA)","157.725mm","53.625mm","157.725mm","52.375mm","160.005mm","56.875mm","T","270.00","FQD5P20TM"
"XP2","DG330-2PIN","102.075mm","39.325mm","102.175mm","39.3mm","99.575mm","39.325mm","T","360.00","DG330-2PIN"
"XP8","DG330-3PIN","134.1mm","39.325mm","134.1mm","39.325mm","129.1mm","39.325mm","T","360.00","DG330-3PIN"
"XP9","DG330-3PIN","149.7mm","39.325mm","149.7mm","39.325mm","144.7mm","39.325mm","T","360.00","DG330-3PIN"
"XP5","DG330-2PIN","102.7mm","115.1mm","102.6mm","115.125mm","105.2mm","115.1mm","T","180.00","DG330-2PIN"
"XP10","DG330-2PIN","112.7mm","115.1mm","112.6mm","115.125mm","115.2mm","115.1mm","T","180.00","DG330-2PIN"
"XP11","DG330-2PIN","112.075mm","39.325mm","112.175mm","39.3mm","109.575mm","39.325mm","T","0.00","DG330-2PIN"
"C4","CC0805","119.375mm","100.6mm","119.375mm","100.6mm","119.375mm","99.7mm","T","90.00","10uFx6.3V"
"J2","PLS-02","157.405mm","70.05mm","158.675mm","70.05mm","158.675mm","70.05mm","T","180.00","PLS-02"

