"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"VD8","LED0805","105.975mm","30.925mm","105.975mm","31.875mm","105.975mm","31.875mm","T","270.00","LED_0805"
"VD9","SOT-23(GSD)","98.659mm","88.5316mm","99.675mm","89.7mm","99.675mm","89.6873mm","T","180.00","BAT54S"
"VD10","SOT-23(GSD)","85.341mm","97.1434mm","84.325mm","95.975mm","84.325mm","95.9877mm","T","0.00","BAT54S"
"VD11","SMA","66.875mm","37.225mm","66.875mm","37.225mm","66.875mm","35.175mm","T","90.00","GS1M"
"VD12","SMA","63.475mm","37.225mm","63.475mm","37.225mm","63.475mm","35.175mm","T","90.00","n.p"
"VD13","SOD-80","65.35mm","42.45mm","65.35mm","42.45mm","63.699mm","42.45mm","T","180.00","BZV55C15"
"VD14","DO-201","72.8mm","38.65mm","72.8mm","35.65mm","72.8mm","35.65mm","T","90.00","1.5KE150A"
"VD15","SOD-80","78.6mm","46.525mm","78.6mm","46.525mm","78.6mm","44.874mm","T","270.00","BZV55C39"
"VD16","SMA","94.9mm","56.275mm","94.9mm","56.275mm","96.95mm","56.275mm","T","180.00","SK34SMA"
"VD17","SMA","82.875mm","66.55mm","82.875mm","66.55mm","80.825mm","66.55mm","T","360.00","SK34SMA"
"VD18","SOD-80","117.075mm","79.05mm","117.075mm","79.05mm","117.075mm","80.701mm","T","90.00","LL4148"
"VD19","SOD-80","117.075mm","90.425mm","117.075mm","90.425mm","117.075mm","92.076mm","T","90.00","LL4148"
"VD20","SOD-80","117.075mm","101.55mm","117.075mm","101.55mm","117.075mm","103.201mm","T","90.00","LL4148"
"VT1","D-PAK(TO-252AA)","65.35mm","48.625mm","65.35mm","49.875mm","63.07mm","45.375mm","T","90.00","IRFR9220"
"VT2","SOT-23(123)","73.4184mm","46.359mm","72.25mm","47.375mm","72.2627mm","47.375mm","T","180.00","BC857"
"VT3","SOT-23(123)","113.6566mm","74.666mm","114.825mm","73.65mm","114.8123mm","73.65mm","T","0.00","BC817-40"
"VT4","SOT-23(123)","111.7184mm","71.084mm","110.55mm","72.1mm","110.5627mm","72.1mm","T","180.00","BC817-40"
"VT5","SOT-23(123)","116.6684mm","83.834mm","115.5mm","84.85mm","115.5127mm","84.85mm","T","180.00","BC817-40"
"VT6","SOT-23(123)","106.934mm","82.7566mm","107.95mm","83.925mm","107.95mm","83.9123mm","T","90.00","BC817-40"
"VT7","SOT-23(123)","116.6934mm","95.159mm","115.525mm","96.175mm","115.5377mm","96.175mm","T","180.00","BC817-40"
"VT8","SOT-23(123)","107.616mm","91.6184mm","106.6mm","90.45mm","106.6mm","90.4627mm","T","270.00","BC817-40"
"XP1","MW03D","124.625mm","57.75mm","124.625mm","60.25mm","124.625mm","60.25mm","T","270.00","MW03D"
"XP2","PLS-03","94.71mm","106.175mm","97.25mm","106.175mm","97.25mm","106.175mm","T","180.00","PLS03"
"XP3","DG330-2PIN","81.1mm","37.525mm","81.2mm","37.5mm","78.6mm","37.525mm","T","0.00","DG330-2PIN"
"XP5","DG330-2PIN","91.1mm","37.525mm","91.2mm","37.5mm","88.6mm","37.525mm","T","0.00","DG330-2PIN"
"XP6","PLS-03","84.71mm","106.175mm","87.25mm","106.175mm","87.25mm","106.175mm","T","180.00","PLS03"
"XP7","PLS-03","74.89mm","106.175mm","72.35mm","106.175mm","72.35mm","106.175mm","T","0.00","PLS03"
"XP8","DG330-2PIN","151.25mm","114.475mm","151.15mm","114.5mm","153.75mm","114.475mm","T","180.00","DG330-2PIN"
"XP11","DG330-3PIN","138.15mm","114.475mm","138.15mm","114.475mm","143.15mm","114.475mm","T","180.00","DG330-3PIN"
"XP13","DG330-2PIN","115mm","114.475mm","114.9mm","114.5mm","117.5mm","114.475mm","T","180.00","DG330-2PIN"
"XP15","DG330-2PIN","72.2mm","114.475mm","72.1mm","114.5mm","74.7mm","114.475mm","T","180.00","DG330-2PIN"
"XP16","PIN6","65.33mm","73.485mm","64.06mm","76.025mm","64.06mm","76.025mm","T","270.00","PLD-06"
"R55","RC0603","105.075mm","113.4497mm","105.075mm","113.45mm","105.075mm","112.675mm","T","90.00","1k"
"R56","RC0603","108.2mm","113.4497mm","108.2mm","113.45mm","108.2mm","112.675mm","T","90.00","1k"
"R57","RC0603","106.65mm","113.4497mm","106.65mm","113.45mm","106.65mm","112.675mm","T","90.00","1k"
"VD21","LED0805","100.725mm","119.375mm","100.725mm","118.425mm","100.725mm","118.425mm","T","90.00","LED_0805"
"VD22","LED0805","106.875mm","119.375mm","106.875mm","118.425mm","106.875mm","118.425mm","T","90.00","LED_0805"
"VD23","LED0805","103.775mm","119.375mm","103.775mm","118.425mm","103.775mm","118.425mm","T","90.00","LED_0805"
"XP12","DG330-2PIN","82.2mm","114.475mm","82.1mm","114.5mm","84.7mm","114.475mm","T","180.00","DG330-2PIN"
"XP4","DG330-2PIN","92.2mm","114.475mm","92.1mm","114.5mm","94.7mm","114.475mm","T","180.00","DG330-2PIN"
"R61","RC0603","75.8003mm","71.2mm","75.8mm","71.2mm","76.575mm","71.2mm","T","180.00","4k7"
"FU7","RC1210","114.15mm","45.775mm","114.15mm","45.775mm","112.55mm","45.775mm","T","0.00","MICROSMD010F-2"
"R62","RC0603","97.3747mm","74.75mm","97.375mm","74.75mm","96.6mm","74.75mm","T","360.00","4k7"
"VT10","SOT-23(123)","105.391mm","73.5434mm","104.375mm","72.375mm","104.375mm","72.3877mm","T","270.00","BC817-40"

